"","Codigo","Companhia","Ano","APC"
"362",113,"BELAPART SA","2010",507
"363",116,"ROSSI RESIDENCIAL SA","2017",674
"364",116,"ROSSI RESIDENCIAL SA","2016",4006575
"365",116,"ROSSI RESIDENCIAL SA","2015",4046901
"366",116,"ROSSI RESIDENCIAL SA","2014",2283808
"367",116,"ROSSI RESIDENCIAL SA","2013",1721793
"368",116,"ROSSI RESIDENCIAL SA","2012",2529934
"369",116,"ROSSI RESIDENCIAL SA","2011",10026818
"370",116,"ROSSI RESIDENCIAL SA","2010",1029718
"371",117,"521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL","2014",1
"372",117,"521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL","2013",1
"373",117,"521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL","2012",1
"374",117,"521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL","2011",1
"375",117,"521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL","2010",6
"376",119,"TAM S.A.","2011",402900
"377",119,"TAM S.A.","2010",20077965
"378",120,"SUL 116 PARTICIPAÇÕES S.A.","2012",8338
"379",120,"SUL 116 PARTICIPAÇÕES S.A.","2011",8338
"380",120,"SUL 116 PARTICIPAÇÕES S.A.","2010",8338
"381",123,"RGE SUL DISTRIBUIDORA DE ENERGIA S.A.","2015",810
"382",125,"WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.","2017",959
"383",125,"WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.","2016",999
"384",125,"WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.","2015",999
"385",125,"WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.","2014",999
"386",125,"WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.","2013",958
"387",125,"WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.","2012",1000
"388",125,"WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.","2011",1000
"389",125,"WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.","2010",1000
"390",128,"COMPANHIA ENERGÉTICA DO MARANHÃO CEMAR","2017",100
"391",128,"COMPANHIA ENERGÉTICA DO MARANHÃO CEMAR","2016",100
"392",128,"COMPANHIA ENERGÉTICA DO MARANHÃO CEMAR","2015",100
"393",130,"UPTICK PARTICIPACOES SA","2016",1
"394",131,"GPC PARTICIPACOES SA","2017",216724
"395",131,"GPC PARTICIPACOES SA","2012",14321436
"396",131,"GPC PARTICIPACOES SA","2011",109085080
"397",131,"GPC PARTICIPACOES SA","2010",108191107
"398",137,"PRÓ METALURGIA SA - EM LIQUIDAÇÃO EXTRAJUDICIAL","2012",1946575799
"399",137,"PRÓ METALURGIA SA - EM LIQUIDAÇÃO EXTRAJUDICIAL","2011",1946575799
"400",137,"PRÓ METALURGIA SA - EM LIQUIDAÇÃO EXTRAJUDICIAL","2010",1946575799
"401",138,"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN","2017",8054
"402",138,"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN","2016",8054
"403",138,"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN","2015",8054
"404",138,"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN","2014",8054
"405",138,"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN","2013",8054
"406",138,"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN","2012",8054
"407",139,"BICICLETAS MONARK SA","2017",10711
"408",139,"BICICLETAS MONARK SA","2016",10711
"409",139,"BICICLETAS MONARK SA","2015",10711
"410",139,"BICICLETAS MONARK SA","2014",10711
"411",139,"BICICLETAS MONARK SA","2013",10711
"412",139,"BICICLETAS MONARK SA","2012",10711
"413",139,"BICICLETAS MONARK SA","2011",10711
"414",139,"BICICLETAS MONARK SA","2010",10710
"415",143,"EMAE-EMP.METROPOLITANA ÁGUAS ENERGIA S.A","2017",0
"416",143,"EMAE-EMP.METROPOLITANA ÁGUAS ENERGIA S.A","2016",0
"417",143,"EMAE-EMP.METROPOLITANA ÁGUAS ENERGIA S.A","2015",0
"418",143,"EMAE-EMP.METROPOLITANA ÁGUAS ENERGIA S.A","2014",0
"419",143,"EMAE-EMP.METROPOLITANA ÁGUAS ENERGIA S.A","2013",0
