"","Codigo","Companhia","Ano","Management.Council","Statutory.Directors","Fiscal.Council"
"215",33,"KLABIN S.A.","2011",0,34.28,0
"216",33,"KLABIN S.A.","2010",0,0,0
"217",34,"SANSUY SA INDÚSTRIA  DE PLASTICOS","2017",0,25.52,0
"218",35,"FIBRIA CELULOSE S.A.","2017",0,76.24,0
"219",35,"FIBRIA CELULOSE S.A.","2016",0,61.37,0
"220",35,"FIBRIA CELULOSE S.A.","2015",0,61.13,0
"221",35,"FIBRIA CELULOSE S.A.","2014",0,50.76,0
"222",35,"FIBRIA CELULOSE S.A.","2013",0,43.16,0
"223",35,"FIBRIA CELULOSE S.A.","2012",0,29.3,0
"224",35,"FIBRIA CELULOSE S.A.","2011",0,23.06,0
"225",35,"FIBRIA CELULOSE S.A.","2010",0,0,0
"226",36,"SIDERURGICA J L ALIPERTI SA","2017",0,0,0
"227",36,"SIDERURGICA J L ALIPERTI SA","2016",0,60.74,0
"228",36,"SIDERURGICA J L ALIPERTI SA","2015",0,59.59,0
"229",36,"SIDERURGICA J L ALIPERTI SA","2014",0,60.8,0
"230",36,"SIDERURGICA J L ALIPERTI SA","2013",0,0,0
"231",36,"SIDERURGICA J L ALIPERTI SA","2012",0,0,0
"232",36,"SIDERURGICA J L ALIPERTI SA","2011",0,0,0
"233",36,"SIDERURGICA J L ALIPERTI SA","2010",0,0,0
"234",37,"RIMET EMPREEND. INDS. E COMERCIAIS S/A","2011",0,0,0
"235",37,"RIMET EMPREEND. INDS. E COMERCIAIS S/A","2010",0,0,0
"236",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2013",0,0,0
"237",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2012",0,0,0
"238",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2011",0,0,0
"239",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2010",0,32.66,0
"240",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2017",0,27.11,0
"241",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2016",0,0,0
"242",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2014",0,0,0
"243",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2013",0,0,0
"244",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2012",0,0,0
"245",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2011",0,0,0
"246",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2010",0,14.41,0
"247",40,"BANCO MERCANTIL BRASIL SA","2017",0,14.17,0
"248",40,"BANCO MERCANTIL BRASIL SA","2016",0,0,0
"249",40,"BANCO MERCANTIL BRASIL SA","2014",0,0,0
"250",40,"BANCO MERCANTIL BRASIL SA","2013",0,15.66,0
"251",40,"BANCO MERCANTIL BRASIL SA","2012",0,0,0
"252",40,"BANCO MERCANTIL BRASIL SA","2011",0,39.62,0
"253",40,"BANCO MERCANTIL BRASIL SA","2010",0,65.53,0
"254",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2017",0,69.47,0
"255",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2016",0,73.62,0
"256",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2015",0,65.3,0
"257",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2014",0,77.53,0
"258",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2013",0,81.25,0
"259",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2012",0,76.05,0
"260",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2011",0,0,0
"261",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2010",0,0,0
"262",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2017",0,0,0
"263",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2016",0,0,0
"264",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2015",0,0,0
"265",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2014",0,0,0
"266",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2013",0,0,0
"267",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2012",0,0,0
"268",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2011",0,0,0
"269",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2010",0,56.12,0
"270",43,"ÉVORA S.A.","2015",0,63.47,0
"271",43,"ÉVORA S.A.","2014",0,0,0
"272",43,"ÉVORA S.A.","2013",0,0,0
"273",43,"ÉVORA S.A.","2012",0,0,0
"274",43,"ÉVORA S.A.","2011",0,0,0
"275",43,"ÉVORA S.A.","2010",0,0,0
"276",44,"METALURGICA RIOSULENSE SA","2017",0,0,0
"277",44,"METALURGICA RIOSULENSE SA","2016",0,0,0
"278",44,"METALURGICA RIOSULENSE SA","2015",0,0,0
"279",44,"METALURGICA RIOSULENSE SA","2014",0,0,0
"280",44,"METALURGICA RIOSULENSE SA","2013",0,0,0
"281",44,"METALURGICA RIOSULENSE SA","2012",0,0,0
"282",44,"METALURGICA RIOSULENSE SA","2011",0,0,0
"283",44,"METALURGICA RIOSULENSE SA","2010",0,0,0
