"","Código","Companhia","Ano","Dummy"
"259",36,"SIDERURGICA J L ALIPERTI SA","2016",0
"260",36,"SIDERURGICA J L ALIPERTI SA","2015",0
"261",36,"SIDERURGICA J L ALIPERTI SA","2014",0
"262",36,"SIDERURGICA J L ALIPERTI SA","2013",0
"263",36,"SIDERURGICA J L ALIPERTI SA","2012",0
"264",36,"SIDERURGICA J L ALIPERTI SA","2011",0
"265",36,"SIDERURGICA J L ALIPERTI SA","2010",0
"266",37,"RIMET EMPREEND. INDS. E COMERCIAIS S/A","2011",0
"267",37,"RIMET EMPREEND. INDS. E COMERCIAIS S/A","2010",0
"268",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2017",0
"269",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2016",0
"270",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2015",0
"271",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2014",0
"272",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2013",0
"273",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2012",0
"274",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2011",0
"275",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2010",0
"276",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2017",0
"277",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2016",0
"278",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2015",0
"279",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2014",0
"280",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2013",0
"281",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2012",0
"282",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2011",0
"283",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2010",0
"284",40,"BANCO MERCANTIL BRASIL SA","2017",0
"285",40,"BANCO MERCANTIL BRASIL SA","2016",0
"286",40,"BANCO MERCANTIL BRASIL SA","2015",0
"287",40,"BANCO MERCANTIL BRASIL SA","2014",0
"288",40,"BANCO MERCANTIL BRASIL SA","2013",0
"289",40,"BANCO MERCANTIL BRASIL SA","2012",0
"290",40,"BANCO MERCANTIL BRASIL SA","2011",0
"291",40,"BANCO MERCANTIL BRASIL SA","2010",0
"292",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2017",0
"293",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2016",0
"294",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2015",0
"295",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2014",0
"296",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2013",0
"297",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2012",0
"298",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2011",0
"299",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2010",0
"300",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2017",0
"301",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2016",0
"302",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2015",0
"303",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2014",0
"304",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2013",0
"305",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2012",0
"306",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2011",0
"307",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2010",0
"308",43,"ÉVORA S.A.","2015",0
"309",43,"ÉVORA S.A.","2014",0
"310",43,"ÉVORA S.A.","2013",0
"311",43,"ÉVORA S.A.","2012",0
"312",43,"ÉVORA S.A.","2011",0
"313",43,"ÉVORA S.A.","2010",0
"314",44,"METALURGICA RIOSULENSE SA","2017",0
"315",44,"METALURGICA RIOSULENSE SA","2016",0
"316",44,"METALURGICA RIOSULENSE SA","2015",0
"317",44,"METALURGICA RIOSULENSE SA","2014",0
"318",44,"METALURGICA RIOSULENSE SA","2013",0
"319",44,"METALURGICA RIOSULENSE SA","2012",0
"320",44,"METALURGICA RIOSULENSE SA","2011",0
"321",44,"METALURGICA RIOSULENSE SA","2010",0
"322",45,"POLPAR S.A.","2017",0
"323",45,"POLPAR S.A.","2016",0
"324",45,"POLPAR S.A.","2015",0
"325",45,"POLPAR S.A.","2014",0
"326",45,"POLPAR S.A.","2013",0
"327",45,"POLPAR S.A.","2012",0
"328",45,"POLPAR S.A.","2011",0
"329",45,"POLPAR S.A.","2010",0
"330",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2017",0
"331",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2016",0
"332",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2015",0
"333",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2014",0
"334",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2013",0
"335",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2012",0
"336",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2011",0
"337",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2010",0
"338",47,"MINUPAR PARTICIPACOES SA","2017",0
"339",47,"MINUPAR PARTICIPACOES SA","2016",0
"340",47,"MINUPAR PARTICIPACOES SA","2015",0
"341",47,"MINUPAR PARTICIPACOES SA","2014",0
"342",47,"MINUPAR PARTICIPACOES SA","2013",0
"343",47,"MINUPAR PARTICIPACOES SA","2012",0
"344",47,"MINUPAR PARTICIPACOES SA","2011",0
"345",47,"MINUPAR PARTICIPACOES SA","2010",0
"346",48,"PBG S/A","2017",1
"347",48,"PBG S/A","2016",1
"348",48,"PBG S/A","2015",1
"349",48,"PBG S/A","2014",1
"350",48,"PBG S/A","2013",1
"351",48,"PBG S/A","2012",1
"352",48,"PBG S/A","2011",1
"353",48,"PBG S/A","2010",1
"354",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2017",1
"355",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2016",1
"356",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2015",1
"357",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2014",1
"358",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2013",1
"359",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2012",1
"360",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2011",1
"361",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2010",1
"362",50,"BANCO ALFA DE INVESTIMENTO SA","2017",0
"363",50,"BANCO ALFA DE INVESTIMENTO SA","2016",0
"364",50,"BANCO ALFA DE INVESTIMENTO SA","2015",0
"365",50,"BANCO ALFA DE INVESTIMENTO SA","2014",0
"366",50,"BANCO ALFA DE INVESTIMENTO SA","2013",0
"367",50,"BANCO ALFA DE INVESTIMENTO SA","2012",0
"368",50,"BANCO ALFA DE INVESTIMENTO SA","2011",0
"369",50,"BANCO ALFA DE INVESTIMENTO SA","2010",0
"370",51,"CEMEPE INVESTIMENTOS SA","2017",0
"371",51,"CEMEPE INVESTIMENTOS SA","2016",0
"372",51,"CEMEPE INVESTIMENTOS SA","2015",0
"373",51,"CEMEPE INVESTIMENTOS SA","2014",0
"374",51,"CEMEPE INVESTIMENTOS SA","2013",0
"375",51,"CEMEPE INVESTIMENTOS SA","2012",0
"376",51,"CEMEPE INVESTIMENTOS SA","2011",0
"377",51,"CEMEPE INVESTIMENTOS SA","2010",0
"378",52,"SUZANO PAPEL E CELULOSE SA","2017",1
"379",52,"SUZANO PAPEL E CELULOSE SA","2016",0
"380",52,"SUZANO PAPEL E CELULOSE SA","2015",0
"381",52,"SUZANO PAPEL E CELULOSE SA","2014",0
"382",52,"SUZANO PAPEL E CELULOSE SA","2013",0
"383",52,"SUZANO PAPEL E CELULOSE SA","2012",0
"384",52,"SUZANO PAPEL E CELULOSE SA","2011",0
"385",52,"SUZANO PAPEL E CELULOSE SA","2010",0
"386",53,"YARA BRASIL FERTILIZANTES","2010",0
"387",54,"VALE FERTILIZANTES S.A.","2010",0
"388",55,"BFB LEASING S.A. ARRENDAMENTO MERCANTIL","2011",0
"389",55,"BFB LEASING S.A. ARRENDAMENTO MERCANTIL","2010",0
"390",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2017",0
"391",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2016",0
"392",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2015",0
"393",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2014",0
"394",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2013",0
"395",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2012",0
"396",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2011",0
"397",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2010",0
"398",57,"TEC TOY S/A","2017",1
"399",57,"TEC TOY S/A","2016",0
"400",57,"TEC TOY S/A","2015",0
"401",57,"TEC TOY S/A","2014",1
"402",57,"TEC TOY S/A","2013",1
"403",57,"TEC TOY S/A","2012",0
"404",57,"TEC TOY S/A","2011",0
"405",57,"TEC TOY S/A","2010",0
"406",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2017",0
"407",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2016",1
"408",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2015",0
"409",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2014",0
"410",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2013",0
"411",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2012",0
"412",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2011",0
"413",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2010",0
"414",59,"BRB-BANCO DE BRASILIA SA","2017",0
"415",59,"BRB-BANCO DE BRASILIA SA","2016",0
"416",59,"BRB-BANCO DE BRASILIA SA","2015",0
"417",59,"BRB-BANCO DE BRASILIA SA","2014",0
