"","Código","Companhia","Ano","NIV","Management.Council","Statutory.Directors","Fiscal.Council","APC","RM","RMRANKIT","POEDIRECTOR","PO","AMDIRECTOR","AM","SIZE"
"134",19,"BANCO DO ESTADO DO PARÁ S/A.","2014",0,0,8.27,0,0,663093.23,38,"",0,"106",8,0
"135",19,"BANCO DO ESTADO DO PARÁ S/A.","2013",0,0,7.24,0,0,480256.9,224,"",0,"106",8,0
"136",19,"BANCO DO ESTADO DO PARÁ S/A.","2012",0,0,4.96,0,0,483208.79,227,"",0,"106",8,0
"137",19,"BANCO DO ESTADO DO PARÁ S/A.","2011",0,0,8.67,0,0,420887.15,153,"",0,"106",8,0
"138",19,"BANCO DO ESTADO DO PARÁ S/A.","2010",0,0,35.37,0,0,292709.19,421,"",0,"106",8,0
"139",20,"VULCABRAS|AZALEIA S.A.","2017",1,0,25.34,0,2170,1635635.84,62,"106",0,"787",2,13.9292721852527
"140",20,"VULCABRAS|AZALEIA S.A.","2016",1,0,18.21,0,14487739,1410024.81,338,"106",0,"787",2,13.8912375045856
"141",20,"VULCABRAS|AZALEIA S.A.","2015",0,0,9.29,0,72427843,1530939.47,439,"106",0,"",0,14.0283241383711
"142",20,"VULCABRAS|AZALEIA S.A.","2014",0,0,0,0,35270118,1286789.67,246,"106",0,"",0,14.0557188744011
"143",20,"VULCABRAS|AZALEIA S.A.","2013",0,0,27.78,0,93212388,674071.43,50,"106",0,"",0,14.0526043506052
"144",20,"VULCABRAS|AZALEIA S.A.","2012",0,0,51.53,0,143830941,1403714.29,333,"106",0,"",0,14.1342842378937
"145",20,"VULCABRAS|AZALEIA S.A.","2011",0,0,46.56,0,109047787,2033714.29,309,"106",1,"",0,14.2515178034517
"146",20,"VULCABRAS|AZALEIA S.A.","2010",0,0,0,0,16498674,1817500,177,"",1,"708",1,14.2933887264839
"147",21,"WEMBLEY SOCIEDADE ANÔNIMA","2015",0,0,0,0,0,381400,100,"",1,"501",6,15.0524298180069
"148",21,"WEMBLEY SOCIEDADE ANÔNIMA","2014",0,0,0,0,0,358800,76,"",1,"501",6,15.0274789125169
"149",21,"WEMBLEY SOCIEDADE ANÔNIMA","2013",0,0,0,0,0,254933.33,382,"",1,"501",6,14.9981532850361
"150",21,"WEMBLEY SOCIEDADE ANÔNIMA","2012",0,0,0,0,0,225666.67,340,"",1,"501",6,14.9960895483955
"151",21,"WEMBLEY SOCIEDADE ANÔNIMA","2011",0,0,44.17,0,0,225666.67,339,"",1,"501",6,15.0822488437715
"152",21,"WEMBLEY SOCIEDADE ANÔNIMA","2010",0,0,39.95,0,0,402333.33,128,"",1,"501",6,15.0589052090609
"153",22,"IOCHPE-MAXION SA","2017",1,0,41.6,0,122013,3913357.11,5,"23",0,"659",5,0
"154",22,"IOCHPE-MAXION SA","2016",1,0,0,0,16668685,4217488.78,54,"23",0,"659",5,0
"155",22,"IOCHPE-MAXION SA","2015",1,0,0,0,18166574,2380468.05,20,"23",0,"659",5,0
"156",22,"IOCHPE-MAXION SA","2014",1,0,45.68,0,99634133,1935431.42,252,"23",0,"659",5,0
"157",22,"IOCHPE-MAXION SA","2013",1,0,0,0,61667408,2732263.31,167,"23",0,"659",5,0
"158",22,"IOCHPE-MAXION SA","2012",1,0,59.55,0,72579702,1776844.42,138,"23",0,"204",3,0
"159",22,"IOCHPE-MAXION SA","2011",1,0,63.05,0,51504161,3070270.75,280,"23",0,"204",3,0
"160",22,"IOCHPE-MAXION SA","2010",0,0,0,0,58626430,1642850.67,67,"23",0,"204",3,0
"161",23,"AZEVEDO & TRAVASSOS SA","2017",0,0,0,0,0,516533.33,275,"",0,"826",8,11.8012348406262
"162",23,"AZEVEDO & TRAVASSOS SA","2016",0,0,0,0,18000,713100,99,"",0,"826",8,11.9789524478282
"163",23,"AZEVEDO & TRAVASSOS SA","2015",0,0,0,0,472000,633583.91,430,"",0,"826",8,12.0255754236249
"164",23,"AZEVEDO & TRAVASSOS SA","2014",0,0,0,0,472000,597764.73,379,"",0,"826",8,11.9595197204224
"165",23,"AZEVEDO & TRAVASSOS SA","2013",0,0,0,0,472000,558171.6,328,"",0,"826",8,11.9359095490751
"166",23,"AZEVEDO & TRAVASSOS SA","2012",0,0,0,0,472000,473784,217,"",0,"826",8,11.8810555475648
"167",23,"AZEVEDO & TRAVASSOS SA","2011",0,0,0,0,472000,479274.67,223,"",0,"826",8,11.8284293951552
"168",23,"AZEVEDO & TRAVASSOS SA","2010",0,0,0,0,472,431125.33,162,"",0,"826",8,11.9417685007109
